bytes,avg_ms
8,13
72,5
136,5
200,4
264,5
328,6
392,4
456,5
520,6
584,5
648,6
712,5
776,5
840,6
904,5
968,4
1032,4
1096,5
1160,4
1224,6
1288,5
1352,5
1416,4
1480,5
1544,6
1608,5
1672,7
1736,5
1800,5
1864,6
1928,5
1992,4
2056,5
2120,4
2184,6
2248,5
2312,4
2376,5
2440,4
2504,5
2568,6
2632,6
2696,6
2760,5
2824,6
2888,4
2952,7
3016,6
3080,4
3144,5
3208,5
3272,4
3336,5
3400,6
3464,6
3528,5
3592,5
3656,5
3720,4
3784,6
3848,6
3912,5
3976,6
4040,8
4104,7
4168,6
4232,4
4296,5
4360,6
4424,11
4488,10
4552,9
4616,11
4680,4
4744,6
4808,5
4872,5
4936,5
5000,5
5064,6
5128,6
5192,4
5256,4
5320,8
5384,5
5448,6
5512,6
5576,6
5640,6
5704,5
5768,5
5832,5
5896,7
5960,6
6024,6
6088,6
6152,6
6216,9
6280,7
6344,7
6408,8
6472,6
6536,6
6600,6
6664,5
6728,4
6792,5
6856,6
6920,5
6984,4
7048,5
7112,4
7176,4
7240,5
7304,6
7368,5
7432,7
7496,6
7560,5
7624,6
7688,5
7752,6
7816,4
7880,6
7944,6
8008,7
8072,5
8136,5
8200,6
8264,5
8328,6
8392,5
8456,7
8520,5
8584,7
8648,5
8712,7
8776,5
8840,5
8904,4
8968,4
9032,5
9096,5
9160,6
9224,4
9288,7
9352,6
9416,6
9480,5
9544,4
9608,5
9672,5
9736,5
9800,5
9864,4
9928,5
9992,5
10056,5
10120,5
10184,4
10248,7
10312,5
10376,4
10440,5
10504,7
10568,7
10632,6
10696,8
10760,8
10824,11
10888,11
10952,5
11016,7
11080,6
11144,4
11208,5
11272,6
11336,4
11400,5
11464,7
11528,6
11592,8
11656,6
11720,6
11784,6
11848,7
11912,5
11976,8
12040,7
12104,7
12168,5
12232,13
12296,7
12360,9
12424,10
12488,7
12552,7
12616,8
12680,6
12744,8
12808,6
12872,6
12936,6
13000,8
13064,7
13128,8
13192,5
13256,11
13320,8
13384,6
13448,6
13512,7
13576,7
13640,9
13704,6
13768,6
13832,7
13896,8
13960,7
14024,6
14088,12
14152,6
14216,7
14280,10
14344,14
14408,15
14472,7
14536,24
14600,12
14664,11
14728,13
14792,9
14856,14
14920,18
14984,20
15048,7
15112,9
15176,17
15240,6
15304,11
15368,7
15432,7
15496,8
15560,6
15624,7
15688,7
15752,6
15816,9
15880,6
15944,5
16008,7
16072,8
16136,8
16200,7
16264,6
16328,9
16392,5
16456,7
16520,6
16584,6
16648,6
16712,5
16776,9
16840,6
16904,7
16968,8
17032,5
17096,8
17160,6
17224,6
17288,9
17352,10
17416,8
17480,5
17544,7
17608,6
17672,7
17736,7
17800,9
17864,8
17928,6
17992,5
18056,6
18120,7
18184,6
18248,8
18312,5
18376,6
18440,6
18504,8
18568,6
18632,6
18696,6
18760,8
18824,6
18888,9
18952,6
19016,6
19080,7
19144,6
19208,7
19272,6
19336,6
19400,8
19464,7
19528,5
19592,6
19656,8
19720,6
19784,9
19848,8
19912,11
19976,7
20040,10
20104,7
20168,6
20232,7
20296,8
20360,8
20424,7
20488,7
20552,7
20616,7
20680,8
20744,8
20808,7
20872,8
20936,8
21000,8
21064,9
21128,7
21192,8
21256,6
21320,6
21384,8
21448,8
21512,13
21576,9
21640,10
21704,7
21768,8
21832,10
21896,8
21960,20
22024,26
22088,22
22152,7
22216,7
22280,8
22344,8
22408,9
22472,8
22536,8
22600,8
22664,7
22728,8
22792,8
22856,7
22920,8
22984,8
23048,7
23112,8
23176,8
23240,8
23304,8
23368,9
23432,8
23496,9
23560,8
23624,7
23688,8
23752,8
23816,6
23880,7
23944,8
24008,8
24072,7
24136,10
24200,9
24264,10
24328,8
24392,8
24456,8
24520,8
24584,8
24648,8
24712,8
24776,8
24840,8
24904,7
24968,8
25032,8
25096,8
25160,8
25224,8
25288,9
25352,14
25416,17
25480,9
25544,8
25608,8
25672,8
25736,9
25800,11
25864,9
25928,8
25992,10
26056,7
26120,8
26184,8
26248,9
26312,9
26376,8
26440,8
26504,8
26568,7
26632,8
26696,8
26760,6
26824,7
26888,9
26952,6
27016,7
27080,8
27144,10
27208,8
27272,7
27336,9
27400,9
27464,8
27528,9
27592,8
27656,16
27720,9
27784,8
27848,8
27912,8
27976,7
28040,9
28104,9
28168,9
28232,9
28296,8
28360,8
28424,9
28488,8
28552,9
28616,9
28680,9
28744,7
28808,10
28872,10
28936,10
29000,9
29064,34
29128,28
29192,14
29256,23
29320,10
29384,27
29448,17
29512,15
29576,8
29640,29
29704,10
29768,18
29832,14
29896,17
29960,11
30024,16
30088,16
30152,11
30216,15
30280,9
30344,9
30408,11
30472,9
30536,9
30600,8
30664,8
30728,8
30792,8
30856,8
30920,8
30984,8
31048,9
31112,9
31176,8
31240,11
31304,13
31368,18
31432,8
31496,7
31560,8
31624,8
31688,10
31752,9
31816,9
31880,9
31944,9
32008,8
32072,9
32136,9
32200,9
32264,8
32328,8
32392,8
32456,9
32520,11
32584,7
32648,8
32712,9
32776,8
32840,8
32904,9
32968,10
33032,11
33096,29
33160,75
33224,30
33288,18
33352,10
33416,8
33480,12
33544,14
33608,10
33672,13
33736,15
33800,21
33864,20
33928,20
33992,22
34056,25
34120,9
34184,10
34248,8
34312,12
34376,9
34440,8
34504,8
34568,10
34632,8
34696,8
34760,8
34824,9
34888,10
34952,8
35016,10
35080,9
35144,10
